Write it on your heart that every day is the best day in the year.,Ralph Waldo Emerson,newyears
"Your success and happiness lies in you. Resolve to keep happy, and your joy and you shall form an invincible host against difficulties.",Helen Keller,newyears
"Come, gentlemen, I hope we shall drink down all unkindness.",William Shakespeare,newyears
Sometimes too much to drink is barely enough.,Mark Twain,newyears
"New Year's Resolution: To tolerate fools more gladly, provided this does not encourage them to take up more of my time.",James Agate,newyears
"Let our New Year's resolution be this: we will be there for one another as fellow members of humanity, in the finest sense of the word.",Goran Persson,newyears
"Resolution One: I will live for God. Resolution Two: If no one else does, I still will.",Jonathan Edwards,newyears
"All of us every single year, we're a different person. I don't think we're the same person all our lives.",Steven Spielberg,newyears
I never worry about being driven to drink I just worry about being driven home.,W. C. Fields,newyears
Character is the ability to carry out a good resolution long after the excitement of the moment has passed.,Cavett Robert,newyears
"First you take a drink, then the drink takes a drink, then the drink takes you.",F. Scott Fitzgerald,newyears
"If you are young and you drink a great deal it will spoil your health, slow your mind, make you fat - in other words, turn you into an adult.",P. J. O'Rourke,newyears
"If you want an interesting party sometime, combine cocktails and a fresh box of crayons for everyone.",Robert Fulghum,newyears
Celebrate what you want to see more of.,Tom Peters,newyears
"I have no way of knowing how people really feel, but the vast majority of those I meet couldn't be nicer. Every once in a while someone barks at me. My New Year's resolution is not to bark back.",Tucker Carlson,newyears
I don't even drink! I can't stand the taste of alcohol. Every New Year's Eve I try one drink and every time it makes me feel sick. So I don't touch booze - I'm always the designated driver.,Kim Kardashian,newyears
"At a dinner party one should eat wisely but not too well, and talk well but not too wisely.",W. Somerset Maugham,newyears
Good parties create a temporary youthfulness.,Mason Cooley,newyears
"I get half a million just to show up at parties. My life is, like, really, really fun.",Paris Hilton,newyears
"If you asked me for my New Year Resolution, it would be to find out who I am.",Cyril Cusack,newyears
"Those who gave thee a body, furnished it with weakness but He who gave thee Soul, armed thee with resolution. Employ it, and thou art wise be wise and thou art happy.",Akhenaton,newyears
I doubt if you can have a truly wild party without liquor.,Carl Sandburg,newyears
"To have the kind of year you want to have, something has to happen that you can't explain why it happened. Something has to happen that you can't coach.",Bobby Bowden,newyears
"Dinner was made for eating, not for talking.",William Makepeace Thackeray,newyears
"I know. I'm lazy. But I made myself a New Years resolution that I would write myself something really special. Which means I have 'til December, right?",Catherine O'Hara,newyears
Each age has deemed the new-born year the fittest time for festal cheer.,Walter Scott,newyears
What is there more kindly than the feeling between host and guest?,Aeschylus,newyears
"A year from now, you're gonna weigh more or less than what you do right now.",Phil McGraw,newyears
Deep breaths are very helpful at shallow parties.,Barbara Walters,newyears
"To be an ideal guest, stay at home.",E. W. Howe,newyears
I've had some lovely extraordinary experiences on New Year's Eve.,Debbie Harry,newyears
"Going to a party, for me, is as much a learning experience as, you know, sitting in a lecture.",Natalie Portman,newyears
Accept what people offer. Drink their milkshakes. Take their love.,Wally Lamb,newyears
My parents used to throw great New Year's Eve parties. They invited such an eclectic mix of showbiz people. All those cool people were always hanging out at our apartment.,Ben Stiller,newyears
Strange to see how a good dinner and feasting reconciles everybody.,Samuel Pepys,newyears
I like to go to parties where I know everyone. How are you going to have fun with people you don't know?,Mary-Kate Olsen,newyears
