If you have only one smile in you give it to the people you love.,Maya Angelou,valentinesday
All you need is love. But a little chocolate now and then doesn't hurt.,Charles M. Schulz,valentinesday
A girl should be two things: classy and fabulous.,Coco Chanel,valentinesday
The heart has its reasons of which reason knows nothing.,Blaise Pascal,valentinesday
The best smell in the world is that man that you love.,Jennifer Aniston,valentinesday
Love will find a way through paths where wolves fear to prey.,Lord Byron,valentinesday
"A friendship that like love is warm A love like friendship, steady.",Thomas Moore,valentinesday
"Money can't buy love, but it improves your bargaining position.",Christopher Marlowe,valentinesday
"I'll love you, dear, I'll love you till China and Africa meet and the river jumps over the mountain and the salmon sing in the street.",W. H. Auden,valentinesday
It is better to have loved and lost than never to have lost at all.,Samuel Butler,valentinesday
"A heart is not judged by how much you love, but by how much you are loved by others.",Frank Morgan,valentinesday
I'd rather have roses on my table than diamonds on my neck.,Emma Goldman,valentinesday
"Where there is great love, there are always wishes.",Willa Cather,valentinesday
The Eskimos had fifty-two names for snow because it was important to them: there ought to be as many for love.,Margaret Atwood,valentinesday
Husbands are like fires - they go out when they're left unattended.,Cher,valentinesday
"True love comes quietly, without banners or flashing lights. If you hear bells, get your ears checked.",Erich Segal,valentinesday
"Now a soft kiss - Aye, by that kiss, I vow an endless bliss.",John Keats,valentinesday
"Today is Valentine's Day - or, as men like to call it, Extortion Day!",Jay Leno,valentinesday
Kisses are a better fate than wisdom.,e. e. cummings,valentinesday
I love romance. I'm a sucker for it. I love it so much. It's pathetic.,Drew Barrymore,valentinesday
Sometimes I'm so sweet even I can't stand it.,Julie Andrews,valentinesday
I want a man who's kind and understanding. Is that too much to ask of a millionaire?,Zsa Zsa Gabor,valentinesday
I love bringing roses to a woman when she least expects it.,Esai Morales,valentinesday
"So, fall asleep love, loved by me... for I know love, I am loved by thee.",Robert Browning,valentinesday
The last time I saw him he was walking down lover's lane holding his own hand.,Fred Allen,valentinesday
Soul meets soul on lovers' lips.,Percy Bysshe Shelley,valentinesday
I'd kiss a frog even if there was no promise of a Prince Charming popping out of it. I love frogs.,Cameron Diaz,valentinesday
"Some women flirt more with what they say, and some with what they do.",Anna Held,valentinesday
"I'm into all that sappy stuff - a surprise picnic, nice dinner, or traveling. I'm kind of an old romantic.",Will Estes,valentinesday
It's better to have loved and lost than to have to do forty pounds of laundry a week.,Laurence J. Peter,valentinesday
We don't believe in rheumatism and true love until after the first attack.,Marie von Ebner-Eschenbach,valentinesday
How sweet it is!,Jackie Gleason,valentinesday
"We are each of us angels with only one wing, and we can only fly by embracing one another.",Luciano De Crescenzo,valentinesday
Everything's coming up roses - for me.,Ethel Merman,valentinesday
"In a recent Valentine's Day posting on her fan website, Britney Spears says that - oh, who cares?",Amy Poehler,valentinesday
I'm like the kid in kindergarten I really do send valentines to everyone.,Susie Bright,valentinesday
I like perfume and flowers.,Donatella Versace,valentinesday
"Look, there's no metaphysics on earth like chocolates.",Fernando Pessoa,valentinesday
Love is when the desire to be desired takes you so badly that you feel you could die of it.,Henri de Toulouse-Lautrec,valentinesday
I'm a laugh tart. I make no secret of that fact.,Hugh Grant,valentinesday
I used to be a hopeless romantic - I fell in love with everyone I went out with.,Jeremy London,valentinesday
Working with Julie Andrews is like getting hit over the head with a valentine.,Christopher Plummer,valentinesday
